"PMID","DOI","First_Author","Year","Title","Journal","Journal_Abbrev","Publication_Type","Domain_Group","Priority_Translational_Evidence","Priority_Use_Case"
"34092528","10.1016/j.euo.2021.05.006","Jobczyk M","2022","Deep Learning-based Recalibration of the CUETO and EORTC Prediction Tools for Recurrence and Progression of Non-muscle-invasive Bladder Cancer.","European urology oncology","Eur Urol Oncol","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"37462961","","Kai J","2022","[Artificial intelligence-based fluorescence method versus traditional flow cytometry in detection of sperm DNA fragmentation index].","Zhonghua nan ke xue = National journal of andrology","Zhonghua Nan Ke Xue","English Abstract; Journal Article","Andrology","No",""
"34914193","10.1111/andr.13141","Krenz H","2022","Machine learning based prediction models in male reproductive health: Development of a proof-of-concept model for Klinefelter Syndrome in azoospermic patients.","Andrology","Andrology","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"34671856","10.1007/s00345-021-03844-w","Laukhtina E","2022","Selection and evaluation of preoperative systemic inflammatory response biomarkers model prior to cytoreductive nephrectomy using a machine-learning approach.","World journal of urology","World J Urol","Journal Article; Randomized Controlled Trial","Andrology","No",""
"35562203","10.1016/j.fertnstert.2022.03.011","Lee R","2022","Automated rare sperm identification from low-magnification microscopy images of dissociated microsurgical testicular sperm extraction samples using deep learning.","Fertility and sterility","Fertil Steril","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"36552986","10.3390/diagnostics12122979","Medenica S","2022","The Future Is Coming: Artificial Intelligence in the Treatment of Infertility Could Improve Assisted Reproduction Outcomes-The Value of Regulatory Frameworks.","Diagnostics (Basel, Switzerland)","Diagnostics (Basel)","Journal Article; Review","Andrology","No",""
"35508641","10.1038/s41598-022-10902-9","Mehrjerd A","2022","Internal validation and comparison of predictive models to determine success rate of infertility treatments: a retrospective study of 2485 cycles.","Scientific reports","Sci Rep","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"35021305","10.5534/wjmh.210159","Ory J","2022","Artificial Intelligence Based Machine Learning Models Predict Sperm Parameter Upgrading after Varicocele Repair: A Multi-Institutional Analysis.","The world journal of men's health","World J Mens Health","Journal Article","Andrology","Yes","Male infertility and sperm-retrieval prediction"
"35414764","10.1002/rmb2.12454","Sato T","2022","A new deep-learning model using YOLOv3 to support sperm selection during intracytoplasmic sperm injection procedure.","Reproductive medicine and biology","Reprod Med Biol","Journal Article","Andrology","No",""
"33650265","10.1111/bju.15379","Schuettfort VM","2022","A panel of systemic inflammatory response biomarkers for outcome prediction in patients treated with radical cystectomy for urothelial carcinoma.","BJU international","BJU Int","Journal Article; Randomized Controlled Trial; Research Support, Non-U.S. Gov't","Andrology","No",""
"36502045","10.3390/s22239344","Sng CMN","2022","Wearable Soft Microtube Sensors for Quantitative Home-Based Erectile Dysfunction Monitoring.","Sensors (Basel, Switzerland)","Sensors (Basel)","Journal Article","Andrology","No",""
"35869867","10.1111/andr.13238","Zhang X","2022","Identifying neuroimaging biomarkers for psychogenic erectile dysfunction by fusing multi-level brain information: A resting-state functional magnetic resonance imaging study.","Andrology","Andrology","Journal Article; Research Support, Non-U.S. Gov't","Andrology","No",""
"35437961","10.4111/icu.20210434","Bang S","2022","Feasibility of a deep learning-based diagnostic platform to evaluate lower urinary tract disorders in men using simple uroflowmetry.","Investigative and clinical urology","Investig Clin Urol","Journal Article; Research Support, Non-U.S. Gov't","Benign/Functional","No",""
"35972280","10.1128/spectrum.01442-22","Chiu M","2022","Comparison of the APAS Independence Automated Plate Reader System with the Manual Standard of Care for Processing Urine Culture Specimens.","Microbiology spectrum","Microbiol Spectr","Journal Article; Research Support, Non-U.S. Gov't","Benign/Functional","No",""
"35368187","10.5213/inj.2244052.026","Choo MS","2022","Development of an Automatic Interpretation Algorithm for Uroflowmetry Results: Application of Artificial Intelligence.","International neurourology journal","Int Neurourol J","Journal Article","Benign/Functional","No",""
"36066079","10.7554/eLife.79378","De Bruyn H","2022","Machine learning-assisted fluoroscopy of bladder function in awake mice.","eLife","Elife","Journal Article; Research Support, Non-U.S. Gov't","Benign/Functional","No",""
"35852133","10.1080/00365513.2022.2100273","Dong F","2022","Diagnostic performance of urine analysis based on flow microimaging and artificial intelligence recognition technology in suspected urinary tract infection patients.","Scandinavian journal of clinical and laboratory investigation","Scand J Clin Lab Invest","Journal Article","Benign/Functional","No",""
